analysis_level,team,match_id,event_type,p_value,test_statistic,before_n,after_n,avg_before,avg_after,faster_after,cliffs_delta,ci_lower,ci_upper,effect_size,significant_uncorrected,bh_corrected_p,significant_after_bh,correction_scope,correction_method
team,Argentina,all_matches,all_goals,0.17927400640568836,521.0,32,40,42.31125,86.4614,False,-0.1859375,-0.43212890625,0.0625,Small,False,0.33532670925170577,False,Within Argentina Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,Argentina,all_matches,substitutions,0.4469786324025903,6130.0,94,123,79.0435744680851,63.10672357723577,True,0.060370178169866805,-0.09406244594360837,0.20240010378827192,Negligible,False,0.4469786324025903,False,Within Argentina Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,Argentina,all_matches,tactical_shifts,0.2904229416915737,1425.0,43,59,79.80104651162789,61.472813559322034,True,0.12337406385494679,-0.10331099724083563,0.3508376034686637,Negligible,False,0.36302867711446707,False,Within Argentina Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,Argentina,all_matches,injuries,0.004265367386286248,3042.5,79,60,113.31262025316455,73.44198333333334,True,0.28375527426160335,0.11208333333333335,0.4629535864978902,Small,True,0.021326836931431236,True,Within Argentina Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,Argentina,all_matches,yellow_cards,0.20119602555102345,414.5,30,34,66.42773333333334,79.32817647058822,False,-0.18725490196078431,-0.46875,0.1000490196078431,Small,False,0.33532670925170577,False,Within Argentina Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,France,all_matches,all_goals,0.012266588673271918,360.0,35,32,50.22814285714286,113.45596875,False,-0.35714285714285715,-0.6063392857142856,-0.09549107142857147,Medium,True,0.06133294336635958,False,Within France Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,France,all_matches,substitutions,0.06917976815215583,3926.0,66,102,77.89427272727272,55.47314705882354,True,0.16636957813428402,-0.017275698158051096,0.33973187759952467,Small,False,0.17294942038038957,False,Within France Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,France,all_matches,tactical_shifts,0.19934538629826504,617.0,23,45,70.20800000000001,39.98844444444444,True,0.19227053140096617,-0.12077294685990338,0.46475845410628014,Small,False,0.3322423104971084,False,Within France Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,France,all_matches,injuries,0.6933119007438466,577.5,49,25,88.83597959183673,74.363,True,-0.05714285714285714,-0.3364489795918367,0.23920408163265305,Negligible,False,0.6933119007438466,False,Within France Team,"Benjamini-Hochberg (Team-level, α=0.05)"
team,France,all_matches,yellow_cards,0.6268094423324468,612.5,44,26,64.56045454545455,69.79903846153846,False,0.07080419580419581,-0.2290646853146853,0.3584134615384615,Negligible,False,0.6933119007438466,False,Within France Team,"Benjamini-Hochberg (Team-level, α=0.05)"
